"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 24 13:20:55 COT 2022","Sat Sep 24 13:20:56 COT 2022","1052","","Create a product and see on the list: Create an empty product","","Create a product and see on the list: Create an empty product","When the user open the dashboard","When the user open the dashboard",""
"passed","Sat Sep 24 13:21:00 COT 2022","Sat Sep 24 13:21:00 COT 2022","1","","Create a product and see on the list: Create an empty product","","Create a product and see on the list: Create an empty product","","",""
"passed","Sun Sep 25 13:35:55 COT 2022","Sun Sep 25 13:35:58 COT 2022","3006","","Admin actions and permissions: Create a empty categroy","","Admin actions and permissions: Create a empty categroy","Then the page will show a form for create a new category","Then the page will show a form for create a new category","verifiying if https://betleague-af205.firebaseapp.com/addCategoria contains https://betleague-af205.firebaseapp.com/addCategoria"
"passed","Sun Sep 25 12:36:35 COT 2022","Sun Sep 25 12:36:36 COT 2022","1099","","Admin actions and permissions: The admin create a new category","","Admin actions and permissions: The admin create a new category","When the admin opens the dashboard on create category option","When the admin opens the dashboard on create category option",""
"passed","Sun Sep 25 11:20:39 COT 2022","Sun Sep 25 11:20:39 COT 2022","579","","Login flow into BetLeague: The user register then the admin delete his user","","Login flow into BetLeague: The user register then the admin delete his user","And open the dashboard for managment user","And open the dashboard for managment user",""
"passed","Tue Sep 27 11:59:13 COT 2022","Tue Sep 27 11:59:24 COT 2022","10573","","Create a product and see on the list: The user create a new product","","Create a product and see on the list: The user create a new product","When the user fills the entire form and create the product","When the user fills the entire form and create the product",""
"passed","Sun Sep 25 09:37:20 COT 2022","Sun Sep 25 09:37:20 COT 2022","0","","Login flow into BetLeague: The user can logged if have an admin user","","Login flow into BetLeague: The user can logged if have an admin user","","",""
"passed","Sun Sep 25 12:36:36 COT 2022","Sun Sep 25 12:36:39 COT 2022","3004","","Admin actions and permissions: The admin create a new category","","Admin actions and permissions: The admin create a new category","Then the page will show a form for create a new category","Then the page will show a form for create a new category","verifiying if https://betleague-af205.firebaseapp.com/addCategoria contains https://betleague-af205.firebaseapp.com/addCategoria"
"passed","Sun Sep 25 14:11:02 COT 2022","Sun Sep 25 14:11:05 COT 2022","3382","","Elements on the list of products and their functions: Other categories are displayed","","Elements on the list of products and their functions: Other categories are displayed","Given The user is logged into BetLeague","Given The user is logged into BetLeague",""
"passed","Sun Sep 25 11:20:42 COT 2022","Sun Sep 25 11:20:55 COT 2022","12576","","Login flow into BetLeague: The user register then the admin delete his user","","Login flow into BetLeague: The user register then the admin delete his user","When delete the user that just registered","When delete the user that just registered",""
"passed","Sat Sep 24 16:31:00 COT 2022","Sat Sep 24 16:31:00 COT 2022","1","","Elements on the list of products and their functions: View Detail of product","","Elements on the list of products and their functions: View Detail of product","","",""
"passed","Sat Sep 24 15:19:10 COT 2022","Sat Sep 24 15:19:13 COT 2022","3360","","Elements on the list of products and their functions: Apply Filters","","Elements on the list of products and their functions: Apply Filters","Given The user is logged into BetLeague","Given The user is logged into BetLeague",""
"passed","Sun Sep 25 13:35:59 COT 2022","Sun Sep 25 13:35:59 COT 2022","0","","Admin actions and permissions: Create a empty categroy","","Admin actions and permissions: Create a empty categroy","","",""
"passed","Sun Sep 25 13:35:56 COT 2022","Sun Sep 25 13:35:56 COT 2022","137","","Elements on the list of products and their functions: The categories are presente on the page","","Elements on the list of products and their functions: The categories are presente on the page","And the list has the next options","And the list has the next options","verifiying if Otras categorias is Otras categorias"
"passed","Mon Sep 26 10:43:22 COT 2022","Mon Sep 26 10:43:22 COT 2022","78","","Payment: The user creates a new payment method","","Payment: The user creates a new payment method","Then the page will show a new page with a card","Then the page will show a new page with a card",""
"passed","Sat Sep 24 14:33:23 COT 2022","Sat Sep 24 14:33:23 COT 2022","1","","Elements on the list of products and their functions: Elements are displayed, clickeable and available","","Elements on the list of products and their functions: Elements are displayed, clickeable and available","","",""
"passed","Sun Sep 25 12:36:31 COT 2022","Sun Sep 25 12:36:34 COT 2022","2476","","Admin actions and permissions: The admin create a new category","","Admin actions and permissions: The admin create a new category","Given The user is on the login page","Given The user is on the login page",""
